Dates,CLOSE
1/2/2004,18.22
1/5/2004,17.49
1/6/2004,16.73
1/7/2004,15.5
1/8/2004,15.61
1/9/2004,16.75
1/12/2004,16.82
1/13/2004,18.04
1/14/2004,16.75
1/15/2004,15.56
1/16/2004,15
1/20/2004,15.21
1/21/2004,14.34
1/22/2004,14.71
1/23/2004,14.84
1/26/2004,14.55
1/27/2004,15.35
1/28/2004,16.78
1/29/2004,17.14
1/30/2004,16.63
2/2/2004,17.11
2/3/2004,17.34
2/4/2004,17.87
2/5/2004,17.71
2/6/2004,16
2/9/2004,16.39
2/10/2004,15.94
2/11/2004,15.39
2/12/2004,15.31
2/13/2004,15.58
2/17/2004,15.4
2/18/2004,15.59
2/19/2004,15.8
2/20/2004,16.04
2/23/2004,16.29
2/24/2004,15.9
2/25/2004,14.93
2/26/2004,14.83
2/27/2004,14.55
3/1/2004,14.44
3/2/2004,14.86
3/3/2004,14.55
3/4/2004,14.4
3/5/2004,14.48
3/8/2004,15.79
3/9/2004,16.6
3/10/2004,18.67
3/11/2004,20.67
3/12/2004,18.3
3/15/2004,21.13
3/16/2004,20.34
3/17/2004,18.11
3/18/2004,18.53
3/19/2004,19.15
3/22/2004,21.58
3/23/2004,20.67
3/24/2004,19.81
3/25/2004,17.88
3/26/2004,17.33
3/29/2004,16.5
3/30/2004,16.28
3/31/2004,16.74
4/1/2004,16.65
4/2/2004,15.64
4/5/2004,14.97
4/6/2004,15.32
4/7/2004,15.76
4/8/2004,16.26
4/12/2004,15.28
4/13/2004,17.26
4/14/2004,15.62
4/15/2004,15.74
4/16/2004,14.94
4/19/2004,15.42
4/20/2004,16.67
4/21/2004,15.6
4/22/2004,14.61
4/23/2004,14.01
4/26/2004,14.77
4/27/2004,15.07
4/28/2004,16.29
4/29/2004,16.6
4/30/2004,17.19
5/3/2004,16.62
5/4/2004,16.55
5/5/2004,15.77
5/6/2004,17.05
5/7/2004,18.13
5/10/2004,19.77
5/11/2004,18.57
5/12/2004,18.14
5/13/2004,18.86
5/14/2004,18.47
5/17/2004,19.96
5/18/2004,19.33
5/19/2004,18.93
5/20/2004,18.67
5/21/2004,18.49
5/24/2004,18.08
5/25/2004,15.96
5/26/2004,15.97
5/27/2004,15.28
5/28/2004,15.5
6/1/2004,16.3
6/2/2004,16.08
6/3/2004,17.03
6/4/2004,16.78
6/7/2004,15.39
6/8/2004,15.01
6/9/2004,15.39
6/10/2004,15.04
6/14/2004,16.07
6/15/2004,15.05
6/16/2004,14.79
6/17/2004,15.15
6/18/2004,14.99
6/21/2004,15.26
6/22/2004,14.31
6/23/2004,13.98
6/24/2004,14.81
6/25/2004,15.19
6/28/2004,16.07
6/29/2004,15.47
6/30/2004,14.34
7/1/2004,15.2
7/2/2004,15.08
7/6/2004,16.25
7/7/2004,15.81
7/8/2004,16.2
7/9/2004,15.78
7/12/2004,14.96
7/13/2004,14.46
7/14/2004,13.76
7/15/2004,14.71
7/16/2004,14.34
7/19/2004,15.17
7/20/2004,14.17
7/21/2004,16.41
7/22/2004,15.75
7/23/2004,16.5
7/26/2004,17.3
7/27/2004,16.55
7/28/2004,16.15
7/29/2004,15.68
7/30/2004,15.32
8/2/2004,15.37
8/3/2004,16.03
8/4/2004,16.21
8/5/2004,18.32
8/6/2004,19.34
8/9/2004,18.89
8/10/2004,17.47
8/11/2004,18.04
8/12/2004,19.08
8/13/2004,17.98
8/16/2004,17.57
8/17/2004,17.02
8/18/2004,16.23
8/19/2004,16.96
8/20/2004,16
8/23/2004,15.88
8/24/2004,15.33
8/25/2004,14.98
8/26/2004,14.91
8/27/2004,14.71
8/30/2004,15.44
8/31/2004,15.29
9/1/2004,14.91
9/2/2004,14.28
9/3/2004,13.91
9/7/2004,14.07
9/8/2004,14.06
9/9/2004,14.01
9/10/2004,13.76
9/13/2004,13.17
9/14/2004,13.56
9/15/2004,14.64
9/16/2004,14.39
9/17/2004,14.03
9/20/2004,14.43
9/21/2004,13.66
9/22/2004,14.74
9/23/2004,14.8
9/24/2004,14.28
9/27/2004,14.62
9/28/2004,13.83
9/29/2004,13.21
9/30/2004,13.34
10/1/2004,12.75
10/4/2004,13.41
10/5/2004,13.95
10/6/2004,13.28
10/7/2004,14.5
10/8/2004,15.05
10/11/2004,14.71
10/12/2004,15.05
10/13/2004,15.42
10/14/2004,16.43
10/15/2004,15.04
10/18/2004,14.71
10/19/2004,15.13
10/20/2004,14.85
10/21/2004,14.54
10/22/2004,15.28
10/25/2004,16.58
10/26/2004,16.39
10/27/2004,15.72
10/28/2004,15.39
10/29/2004,16.27
11/1/2004,16.27
11/2/2004,16.18
11/3/2004,14.04
11/4/2004,13.97
11/5/2004,13.84
11/8/2004,13.8
11/9/2004,13.61
11/10/2004,13.08
11/11/2004,13.04
11/12/2004,13.33
11/15/2004,13.38
11/16/2004,13.21
11/17/2004,13.21
11/18/2004,12.98
11/19/2004,13.5
11/22/2004,12.97
11/23/2004,12.67
11/24/2004,12.72
11/26/2004,12.78
11/29/2004,13.3
11/30/2004,13.24
12/1/2004,12.97
12/2/2004,12.98
12/3/2004,12.96
12/6/2004,13.19
12/7/2004,13.67
12/8/2004,13.19
12/9/2004,12.88
12/10/2004,12.76
12/13/2004,12.54
12/14/2004,12.73
12/15/2004,12.35
12/16/2004,12.27
12/17/2004,11.95
12/20/2004,11.83
12/21/2004,11.55
12/22/2004,11.45
12/23/2004,11.23
12/27/2004,12.14
12/28/2004,12
12/29/2004,11.62
12/30/2004,12.56
12/31/2004,13.29
1/3/2005,14.08
1/4/2005,13.98
1/5/2005,14.09
1/6/2005,13.58
1/7/2005,13.49
1/10/2005,13.23
1/11/2005,13.19
1/12/2005,12.56
1/13/2005,12.84
1/14/2005,12.43
1/18/2005,12.47
1/19/2005,13.18
1/20/2005,13.83
1/21/2005,14.36
1/24/2005,14.65
1/25/2005,14.06
1/26/2005,13.44
1/27/2005,13.24
1/28/2005,13.24
1/31/2005,12.82
2/1/2005,12.03
2/2/2005,11.66
2/3/2005,11.79
2/4/2005,11.21
2/7/2005,11.73
2/8/2005,11.6
2/9/2005,12
2/10/2005,11.51
2/11/2005,11.43
2/14/2005,11.52
2/15/2005,11.27
2/16/2005,11.1
2/17/2005,11.77
2/18/2005,11.18
2/22/2005,13.14
2/23/2005,12.39
2/24/2005,11.57
2/25/2005,11.49
2/28/2005,12.08
3/1/2005,12.04
3/2/2005,12.5
3/3/2005,12.93
3/4/2005,11.94
3/7/2005,12.26
3/8/2005,12.4
3/9/2005,12.7
3/10/2005,12.49
3/11/2005,12.8
3/14/2005,12.39
3/15/2005,13.15
3/16/2005,13.49
3/17/2005,13.29
3/18/2005,13.14
3/21/2005,13.61
3/22/2005,14.27
3/23/2005,14.06
3/24/2005,13.42
3/28/2005,13.75
3/29/2005,14.49
3/30/2005,13.64
3/31/2005,14.02
4/1/2005,14.09
4/4/2005,14.11
4/5/2005,13.68
4/6/2005,13.15
4/7/2005,12.33
4/8/2005,12.62
4/11/2005,11.98
4/12/2005,11.3
4/13/2005,13.31
4/14/2005,14.53
4/15/2005,17.74
4/18/2005,16.56
4/19/2005,14.96
4/20/2005,16.92
4/21/2005,14.41
4/22/2005,15.38
4/25/2005,14.62
4/26/2005,14.91
4/27/2005,14.87
4/28/2005,16.86
4/29/2005,15.31
5/2/2005,15.12
5/3/2005,14.53
5/4/2005,13.85
5/5/2005,13.98
5/6/2005,14.05
5/9/2005,13.75
5/10/2005,14.91
5/11/2005,14.45
5/12/2005,16.12
5/13/2005,16.32
5/16/2005,15.68
5/17/2005,14.57
5/18/2005,13.63
5/19/2005,13.32
5/20/2005,13.14
5/23/2005,12.95
5/24/2005,12.69
5/25/2005,12.58
5/26/2005,12.24
5/27/2005,12.15
5/31/2005,13.29
6/1/2005,12.36
6/2/2005,11.84
6/3/2005,12.15
6/6/2005,12.28
6/7/2005,12.39
6/8/2005,12.7
6/9/2005,12.08
6/10/2005,11.96
6/13/2005,11.65
6/14/2005,11.79
6/15/2005,11.46
6/16/2005,11.15
6/17/2005,11.48
6/20/2005,11.47
6/21/2005,11.08
6/22/2005,11.05
6/23/2005,12.13
6/24/2005,12.18
6/27/2005,12.52
6/28/2005,11.58
6/29/2005,11.77
6/30/2005,12.04
7/1/2005,11.4
7/5/2005,11.68
7/6/2005,12.27
7/7/2005,12.49
7/8/2005,11.45
7/11/2005,11.28
7/12/2005,10.95
7/13/2005,10.84
7/14/2005,10.81
7/15/2005,10.33
7/18/2005,10.77
7/19/2005,10.45
7/20/2005,10.23
7/21/2005,10.97
7/22/2005,10.52
7/25/2005,11.1
7/26/2005,10.99
7/27/2005,10.36
7/28/2005,10.52
7/29/2005,11.57
8/1/2005,12.08
8/2/2005,11.75
8/3/2005,11.83
8/4/2005,12.52
8/5/2005,12.48
8/8/2005,13.21
8/9/2005,12.4
8/10/2005,12.38
8/11/2005,12.42
8/12/2005,12.74
8/15/2005,12.26
8/16/2005,13.52
8/17/2005,13.3
8/18/2005,13.42
8/19/2005,13.42
8/22/2005,13.42
8/23/2005,13.34
8/24/2005,14.17
8/25/2005,13.73
8/26/2005,13.72
8/29/2005,13.52
8/30/2005,13.65
8/31/2005,12.6
9/1/2005,13.15
9/2/2005,13.57
9/6/2005,12.93
9/7/2005,12.52
9/8/2005,12.93
9/9/2005,11.98
9/12/2005,11.65
9/13/2005,12.39
9/14/2005,12.91
9/15/2005,12.49
9/16/2005,11.22
9/19/2005,12.14
9/20/2005,12.64
9/21/2005,13.79
9/22/2005,13.33
9/23/2005,12.96
9/26/2005,13.04
9/27/2005,12.76
9/28/2005,12.63
9/29/2005,12.24
9/30/2005,11.92
10/3/2005,12.46
10/4/2005,13.2
10/5/2005,14.55
10/6/2005,14.96
10/7/2005,14.59
10/10/2005,15.55
10/11/2005,15.63
10/12/2005,16.22
10/13/2005,16.47
10/14/2005,14.87
10/17/2005,14.67
10/18/2005,15.33
10/19/2005,13.5
10/20/2005,16.11
10/21/2005,16.13
10/24/2005,14.74
10/25/2005,14.53
10/26/2005,14.59
10/27/2005,16.02
10/28/2005,14.25
10/31/2005,15.32
11/1/2005,14.85
11/2/2005,13.48
11/3/2005,13
11/4/2005,13.17
11/7/2005,13.1
11/8/2005,13.08
11/9/2005,12.8
11/10/2005,11.9
11/11/2005,11.63
11/14/2005,12.18
11/15/2005,12.23
11/16/2005,12.26
11/17/2005,11.25
11/18/2005,11.12
11/21/2005,10.82
11/22/2005,10.6
11/23/2005,10.96
11/25/2005,10.88
11/28/2005,11.84
11/29/2005,11.89
11/30/2005,12.06
12/1/2005,11.24
12/2/2005,11.01
12/5/2005,11.6
12/6/2005,11.52
12/7/2005,12.18
12/8/2005,12.21
12/9/2005,11.69
12/12/2005,11.47
12/13/2005,11.11
12/14/2005,10.48
12/15/2005,10.73
12/16/2005,10.68
12/19/2005,11.38
12/20/2005,11.19
12/21/2005,10.81
12/22/2005,10.29
12/23/2005,10.27
12/27/2005,11.57
12/28/2005,11.35
