DATE,Open,High,Low,Close,Volume
2017-01-03,116.2831,116.9458,115.8737,116.5072,22307608.0
2017-01-04,116.6339,117.3551,116.6204,117.1407,19749074.0
2017-01-05,117.1115,117.8814,117.053,117.8035,20644254.0
2017-01-06,117.9204,119.1485,117.6232,118.8366,24074305.0
2017-01-09,118.934,119.4409,118.8561,119.2264,18909234.0
2017-01-10,119.2654,119.8502,119.0023,119.4896,16176631.0
2017-01-11,119.5188,119.8112,118.9243,119.8112,20685983.0
2017-01-12,119.3824,119.703,118.515,119.626,19622511.0
2017-01-13,119.6943,120.2401,119.6845,120.0354,16930803.0
2017-01-17,119.6748,119.9087,119.328,119.6748,14538484.0
2017-01-18,119.8405,120.0354,119.5481,119.9184,12499663.0
2017-01-19,120.0646,120.5129,119.6065,119.8599,12710659.0
2017-01-20,120.3765,120.6884,119.8015,120.1231,22091039.0
2017-01-23,120.0354,120.396,119.4603,120.2206,17434167.0
2017-01-24,120.4545,121.2147,120.2544,121.0295,17640869.0
2017-01-25,121.7702,122.277,121.6825,122.2478,15036221.0
2017-01-26,122.4037,122.6279,122.1638,122.3745,16052150.0
2017-01-27,122.6084,122.7265,122.2088,122.6084,15052983.0
2017-01-30,122.1893,122.1991,120.9808,121.6533,25006715.0
2017-01-31,121.2439,121.4388,120.7079,121.4096,19091133.0
2017-02-01,122.238,122.4914,121.6923,122.2478,22861876.0
2017-02-02,122.0334,122.5109,121.6923,122.1406,15101363.0
2017-02-03,122.3063,122.6181,122.1503,122.4914,16957154.0
2017-02-06,122.238,122.6571,122.1698,122.6376,11630139.0
2017-02-07,122.8618,123.3394,122.7741,123.086,17541101.0
2017-02-08,122.9203,123.4661,122.6864,123.2906,12569147.0
2017-02-09,123.4173,124.0119,123.3491,123.739,17542726.0
2017-02-10,123.9729,124.3238,123.7975,124.1483,13915697.0
2017-02-13,124.5187,125.006,124.4796,124.8501,19120150.0
2017-02-14,124.8988,125.274,124.4992,125.2691,16333480.0
2017-02-15,125.1814,126.0683,125.1132,126.0099,17891355.0
2017-02-16,126.0781,126.3412,125.6492,125.9709,15098286.0
2017-02-17,125.8149,126.5264,125.7662,126.5167,15563730.0
2017-02-21,126.7311,127.2184,126.6921,127.1404,18479628.0
2017-02-22,127.0137,127.2769,126.81,127.1892,12110876.0
2017-02-23,127.3841,127.3841,126.2048,126.7116,17489023.0
2017-02-24,126.1853,126.9553,126.0976,126.9553,18624489.0
2017-02-27,126.7213,127.1209,126.5069,127.1112,12008672.0
2017-02-28,127.082,127.1404,126.3705,126.7213,16598581.0
2017-03-01,127.4913,128.3392,127.2866,128.1053,25813827.0
2017-03-02,128.0956,128.0956,127.3061,127.4621,19951386.0
2017-03-03,127.3354,127.735,127.0342,127.696,13722749.0
2017-03-06,127.2476,127.6277,126.9065,127.4133,12026151.0
2017-03-07,127.1404,127.7544,126.9747,127.1989,15500945.0
2017-03-08,127.2574,127.8227,127.1502,127.4231,15776027.0
2017-03-09,127.3938,127.696,126.8383,127.5205,20855253.0
2017-03-10,128.0858,128.2613,127.501,128.0566,21922601.0
2017-03-13,128.0079,128.3002,127.9396,128.271,10731575.0
2017-03-14,127.9786,128.0273,127.4426,127.9591,14019689.0
2017-03-15,128.2418,129.0458,127.8129,128.7486,22709139.0
2017-03-16,128.9727,128.9922,128.3685,128.6609,18457291.0
2017-03-17,128.7821,128.9579,128.5477,128.6161,21234529.0
2017-03-20,128.577,129.0263,128.3916,128.7333,10105210.0
2017-03-21,129.2216,129.3388,126.7018,126.78,35841897.0
2017-03-22,126.8581,127.7664,126.653,127.6394,29177883.0
2017-03-23,127.4734,127.825,127.1022,127.3171,20311655.0
2017-03-24,127.7273,128.2254,127.0925,127.5808,22967566.0
2017-03-27,126.7018,128.0105,126.3795,127.7859,18472445.0
2017-03-28,127.7566,128.9481,127.5027,128.5672,23721947.0
2017-03-29,128.6551,129.2118,128.5184,129.163,13709968.0
2017-03-30,129.1337,129.5146,128.997,129.3779,16092374.0
2017-03-31,129.1825,129.6416,129.0409,129.29,19841411.0
2017-04-03,129.3876,129.7099,128.4891,129.2118,23700310.0
2017-04-04,128.8212,129.4365,128.7919,129.4169,13400022.0
2017-04-05,129.583,130.3643,128.6454,128.8895,32011155.0
2017-04-06,129.036,129.2997,128.6258,128.9579,18832193.0
2017-04-07,128.9091,129.2802,128.4305,128.8895,16743064.0
2017-04-10,129.0263,129.4706,128.5832,128.9384,15619276.0
2017-04-11,128.7821,129.0116,127.4538,128.3817,33778359.0
2017-04-12,128.3817,128.4696,127.7273,127.864,15955195.0
2017-04-13,127.698,128.4403,127.3366,127.3562,23683020.0
2017-04-17,127.7468,128.4305,127.6687,128.411,13325508.0
2017-04-18,127.9519,128.5868,127.8933,128.2156,12841087.0
2017-04-19,128.7723,129.2021,128.2449,128.4207,17764817.0
2017-04-20,128.9579,129.7783,128.743,129.4951,21977910.0
2017-04-21,129.6025,129.6611,129.1337,129.4658,22454948.0
2017-04-24,130.8917,131.1505,130.6809,131.0284,22469948.0
2017-04-25,131.4386,132.2066,131.3409,131.9758,19384398.0
2017-04-26,132.0148,132.3469,131.7121,131.7902,25398542.0
2017-04-27,132.1223,132.5813,132.0344,132.5813,16136538.0
2017-04-28,133.0989,133.1575,132.6008,132.8157,22771946.0
2017-05-01,133.2747,134.1733,133.1966,133.9975,24815525.0
2017-05-02,134.1733,134.2807,133.8217,134.2221,18345071.0
2017-05-03,133.9389,133.9682,133.4261,133.7924,23827550.0
2017-05-04,133.8119,134.2221,133.3724,133.8412,14630063.0
2017-05-05,134.183,134.3295,133.6849,134.3295,19330652.0
2017-05-08,134.3979,134.6225,134.1244,134.6225,13279931.0
2017-05-09,134.8276,135.3921,134.7104,135.0913,28426109.0
2017-05-10,135.1694,135.2183,134.6909,135.1694,20499363.0
