,N,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,토론실,Unnamed: 12
76,49.0,삼성중공업,7480.0,30.0,+0.40%,5000.0,2540056.0,47124.0,-4093.0,-10.79,-2.76,,
77,50.0,LG디스플레이,12850.0,150.0,-1.15%,5000.0,898856.0,45979.0,929.0,-22.19,-0.58,,
1,51.0,아모레G,55200.0,600.0,-1.08%,500.0,51408.0,45517.0,5495.0,34.5,5.11,,
2,52.0,현대건설,40500.0,750.0,-1.82%,5000.0,371141.0,45099.0,8400.0,11.83,2.93,,
3,53.0,GS,46750.0,0.0,0.00%,5000.0,91688.0,43438.0,22098.0,4.9,4.62,,
4,54.0,맥쿼리인프라,11450.0,0.0,0.00%,0.0,308988.0,39966.0,,,,,
5,55.0,한국금융지주,71300.0,1200.0,-1.66%,5000.0,97158.0,39733.0,6215.0,8.29,0.92,,
9,56.0,한국항공우주,38900.0,50.0,-0.13%,5000.0,353902.0,37918.0,1464.0,66.27,1.6,,
10,57.0,에스원,99500.0,2000.0,-1.97%,500.0,40261.0,37809.0,1991.0,36.72,6.31,,
11,58.0,롯데쇼핑,133000.0,2000.0,+1.53%,5000.0,101312.0,37624.0,5970.0,-6.88,-1.72,,
12,59.0,삼성카드,32150.0,550.0,-1.68%,5000.0,59858.0,37249.0,4786.0,10.79,1.5,,
13,60.0,두산밥캣,35800.0,100.0,-0.28%,500.0,60700.0,35889.0,4590.0,13.57,4.19,,
17,61.0,한국타이어앤테크놀로지,28950.0,400.0,+1.40%,500.0,157396.0,35862.0,7027.0,6.87,5.49,,
18,62.0,한국가스공사,38300.0,50.0,-0.13%,5000.0,83733.0,35356.0,12769.0,6.94,1.37,,
19,63.0,CJ제일제당,229500.0,2000.0,-0.86%,5000.0,33226.0,34549.0,8327.0,4.24,5.09,,
20,64.0,오리온,87100.0,2300.0,-2.57%,500.0,88243.0,34436.0,2822.0,24.62,6.21,,
21,65.0,NH투자증권,12200.0,50.0,+0.41%,5000.0,445017.0,34332.0,5401.0,10.15,0.74,,
25,66.0,롯데지주,32600.0,700.0,+2.19%,200.0,209646.0,34200.0,984.0,18.67,0.45,,
26,67.0,DB손해보험,47850.0,950.0,-1.95%,500.0,99305.0,33878.0,7207.0,6.36,1.08,,
27,68.0,BGF리테일,195500.0,1000.0,-0.51%,1000.0,13256.0,33790.0,1895.0,21.91,11.17,,
28,69.0,대림산업,97000.0,500.0,-0.51%,5000.0,71841.0,33756.0,8454.0,5.79,5.17,,
29,70.0,휠라코리아,55000.0,500.0,+0.92%,1000.0,1523042.0,33613.0,3571.0,23.41,6.58,,
33,71.0,한미약품,283000.0,4500.0,-1.57%,2500.0,21736.0,32862.0,836.0,132.0,2.04,,
34,72.0,CJ대한통운,143000.0,3000.0,+2.14%,5000.0,30476.0,32622.0,2427.0,86.14,0.73,,
35,73.0,이마트,115500.0,0.0,0.00%,5000.0,162151.0,32197.0,4628.0,7.15,2.9,,
36,74.0,삼성증권,34900.0,250.0,-0.71%,5000.0,173027.0,31166.0,4581.0,9.33,0.88,,
37,75.0,호텔신라,78900.0,1300.0,-1.62%,5000.0,250466.0,30967.0,2091.0,28.61,4.88,,
41,76.0,포스코케미칼,50600.0,1900.0,+3.90%,500.0,367440.0,30860.0,1063.0,22.62,14.89,,
42,77.0,제일기획,25900.0,0.0,0.00%,200.0,171711.0,29796.0,1811.0,22.96,5.98,,
43,78.0,삼성엔지니어링,15150.0,200.0,-1.30%,5000.0,448581.0,29694.0,2061.0,43.29,1.45,,
44,79.0,현대차2우B,81300.0,100.0,-0.12%,5000.0,38509.0,29663.0,,15.19,,,
45,80.0,메리츠종금증권,4775.0,60.0,-1.24%,1000.0,1008329.0,29477.0,5323.0,7.93,1.57,,
49,81.0,GS리테일,38050.0,1250.0,-3.18%,1000.0,146883.0,29298.0,1803.0,24.3,2.6,,
50,82.0,쌍용양회,5760.0,50.0,-0.86%,1000.0,549295.0,29022.0,2469.0,19.86,4.24,,
51,83.0,대우조선해양,26650.0,100.0,+0.38%,5000.0,124778.0,28570.0,10248.0,8.28,2.74,,
52,84.0,유한양행,221000.0,2000.0,+0.91%,5000.0,24825.0,28237.0,501.0,50.03,2.73,,
53,85.0,한화케미칼,17450.0,300.0,-1.69%,5000.0,733435.0,28178.0,3543.0,15.4,1.11,,
57,86.0,TIGER 200,25650.0,30.0,-0.12%,0.0,1325458.0,27561.0,,,,,
58,87.0,한미사이언스,41750.0,100.0,-0.24%,500.0,51014.0,27030.0,262.0,150.18,1.94,,
59,88.0,GS건설,31650.0,500.0,-1.56%,5000.0,194951.0,25296.0,10645.0,4.1,4.57,,
60,89.0,KODEX 레버리지,10765.0,15.0,-0.14%,0.0,13465194.0,24523.0,,,,,
61,90.0,팬오션,4500.0,20.0,+0.45%,1000.0,566911.0,24056.0,2039.0,15.79,3.71,,
65,91.0,LG이노텍,100500.0,500.0,+0.50%,5000.0,133757.0,23785.0,2635.0,14.58,2.8,,
66,92.0,CJ,80100.0,700.0,-0.87%,5000.0,41249.0,23371.0,13325.0,10.35,2.88,,
67,93.0,KCC,219500.0,1500.0,+0.69%,5000.0,12107.0,23172.0,2435.0,-98.3,-0.25,,
68,94.0,신세계,226000.0,0.0,0.00%,5000.0,36307.0,22250.0,3974.0,9.31,2.68,,
69,95.0,포스코인터내셔널,17850.0,150.0,-0.83%,5000.0,101248.0,22022.0,4726.0,14.19,1.22,,
73,96.0,금호석유,71800.0,100.0,+0.14%,5000.0,60992.0,21876.0,5546.0,4.9,10.94,,
74,97.0,대한항공,22850.0,200.0,-0.87%,5000.0,223520.0,21672.0,6403.0,-11.36,-0.74,,
75,98.0,BNK금융지주,6520.0,50.0,-0.76%,5000.0,342684.0,21251.0,7498.0,4.23,0.56,,
76,99.0,한화생명,2440.0,20.0,+0.83%,5000.0,1527571.0,21192.0,6502.0,5.1,0.35,,
77,100.0,현대엘리베이,77900.0,1000.0,-1.27%,5000.0,248644.0,21188.0,1431.0,260.54,0.06,,
1,101.0,메리츠화재,18450.0,800.0,-4.16%,500.0,142584.0,20974.0,3127.0,8.84,1.22,,
2,102.0,현대해상,23300.0,1050.0,-4.31%,500.0,419959.0,20830.0,5335.0,5.58,0.88,,
3,103.0,오뚜기,569000.0,12000.0,-2.07%,5000.0,3524.0,20514.0,1517.0,12.39,8.5,,
4,104.0,오렌지라이프,24850.0,550.0,+2.26%,1000.0,269011.0,20377.0,4130.0,6.55,0.97,,
5,105.0,한화에어로스페이스,38500.0,750.0,+1.99%,5000.0,316694.0,19851.0,532.0,62.2,0.75,,
9,106.0,일진머티리얼즈,42600.0,1500.0,+3.65%,500.0,777105.0,19643.0,487.0,47.49,6.15,,
10,107.0,대웅제약,162500.0,1000.0,-0.61%,2500.0,14595.0,18828.0,246.0,-124.24,-1.27,,
11,108.0,효성,87100.0,700.0,+0.81%,5000.0,88145.0,18353.0,1435.0,0.6,32.72,,
12,109.0,두산,100500.0,1000.0,-0.99%,5000.0,51188.0,18329.0,12159.0,-21.03,-1.18,,
13,110.0,메리츠금융지주,12750.0,350.0,-2.67%,500.0,64941.0,17879.0,8024.0,5.72,1.36,,
17,111.0,동서,17800.0,200.0,-1.11%,500.0,37842.0,17747.0,432.0,15.23,8.54,,
18,112.0,한화,23650.0,100.0,+0.42%,5000.0,175448.0,17728.0,18061.0,4.94,0.49,,
19,113.0,한진칼,29500.0,50.0,-0.17%,2500.0,215501.0,17455.0,1088.0,-43.19,-0.63,,
20,114.0,현대차우,71300.0,300.0,+0.42%,5000.0,12225.0,17366.0,,13.32,,,
21,115.0,대우건설,4060.0,20.0,-0.49%,5000.0,390287.0,16874.0,6287.0,5.65,3.4,,
25,116.0,더존비즈온,56800.0,800.0,-1.39%,500.0,93593.0,16854.0,540.0,40.06,15.38,,
26,117.0,SKC,44750.0,1300.0,+2.99%,5000.0,339504.0,16797.0,2011.0,13.93,3.76,,
27,118.0,현대백화점,70900.0,500.0,-0.70%,5000.0,35374.0,16592.0,3567.0,6.94,4.18,,
28,119.0,현대미포조선,41000.0,650.0,+1.61%,5000.0,186469.0,16376.0,709.0,19.27,2.05,,
29,120.0,OCI,68100.0,1000.0,-1.45%,5000.0,71585.0,16241.0,1587.0,15.65,1.77,,
33,121.0,영원무역,35550.0,200.0,-0.56%,500.0,79374.0,15753.0,2010.0,13.94,4.53,,
34,122.0,HDC현대산업개발,35600.0,500.0,-1.39%,5000.0,63873.0,15642.0,3179.0,4.55,,,
35,123.0,만도,32900.0,250.0,-0.75%,1000.0,300964.0,15449.0,1974.0,14.62,2.54,,
36,124.0,하이트진로,22000.0,50.0,-0.23%,5000.0,203733.0,15429.0,904.0,70.51,0.64,,
37,125.0,한샘,63400.0,100.0,+0.16%,1000.0,58180.0,14921.0,560.0,16.58,9.39,,
41,126.0,LG생활건강우,700000.0,4000.0,+0.57%,5000.0,1614.0,14698.0,,18.17,,,
42,127.0,키움증권,65900.0,500.0,-0.75%,5000.0,38490.0,14564.0,2890.0,8.5,1.28,,
43,128.0,LS,44300.0,400.0,-0.89%,5000.0,31377.0,14265.0,5091.0,3.53,4.77,,
44,129.0,한전KPS,31350.0,0.0,0.00%,200.0,72688.0,14108.0,1915.0,8.74,13.01,,
45,130.0,현대로템,16550.0,200.0,-1.19%,5000.0,330607.0,14068.0,-1962.0,-4.68,-7.62,,
49,131.0,농심,229500.0,2000.0,-0.86%,5000.0,7707.0,13960.0,886.0,16.56,3.38,,
50,132.0,KODEX 단기채권,101310.0,10.0,+0.01%,0.0,16277.0,13790.0,,,,,
51,133.0,이노션,68400.0,800.0,-1.16%,500.0,15039.0,13680.0,1182.0,17.8,5.49,,
52,134.0,한국테크놀로지그룹,14650.0,150.0,-1.01%,500.0,23192.0,13627.0,2115.0,6.58,6.41,,
53,135.0,한올바이오파마,25700.0,300.0,-1.15%,500.0,156500.0,13426.0,55.0,407.94,1.99,,
57,136.0,LS산전,44450.0,750.0,-1.66%,5000.0,55361.0,13335.0,2050.0,10.14,5.67,,
58,137.0,SK네트웍스,5290.0,80.0,-1.49%,2500.0,569730.0,13129.0,1379.0,182.41,0.1,,
59,138.0,신세계인터내셔날,183500.0,4500.0,+2.51%,5000.0,38685.0,13102.0,555.0,22.79,5.97,,
60,139.0,두산인프라코어,6120.0,40.0,-0.65%,5000.0,386985.0,12739.0,8481.0,5.17,3.7,,
61,140.0,LG화학우,165500.0,2000.0,+1.22%,5000.0,10687.0,12725.0,,8.8,,,
65,141.0,녹십자,108000.0,1000.0,-0.92%,5000.0,18087.0,12621.0,502.0,36.66,2.0,,
66,142.0,F&F,81700.0,0.0,0.00%,500.0,53917.0,12582.0,915.0,11.52,24.4,,
67,143.0,아시아나항공,5510.0,50.0,-0.90%,5000.0,1277393.0,12190.0,282.0,-5.72,-2.33,,
68,144.0,현대오토에버,57400.0,1300.0,+2.32%,500.0,27406.0,12054.0,702.0,21.96,6.76,,
69,145.0,금호타이어,4160.0,55.0,-1.30%,5000.0,288090.0,11950.0,-789.0,-5.29,-4.19,,
73,146.0,NHN,61000.0,100.0,+0.16%,500.0,50740.0,11935.0,686.0,13.36,4.54,,
74,147.0,두산중공업,5890.0,10.0,+0.17%,5000.0,529182.0,11906.0,10017.0,-1.61,-1.69,,
75,148.0,GKL,19100.0,200.0,-1.04%,500.0,79601.0,11814.0,1051.0,15.19,,,
76,149.0,DGB금융지주,6870.0,80.0,-1.15%,5000.0,328403.0,11620.0,3366.0,3.03,0.67,,
77,150.0,태광산업,1035000.0,8000.0,-0.77%,5000.0,392.0,11524.0,3315.0,5.38,5.79,,
1,151.0,현대위아,42200.0,50.0,-0.12%,5000.0,101982.0,11476.0,50.0,-20.66,-0.78,,
2,152.0,KBSTAR 200,25640.0,30.0,-0.12%,0.0,571118.0,11410.0,,,,,
3,153.0,롯데정밀화학,43500.0,650.0,-1.47%,5000.0,62556.0,11223.0,2107.0,5.22,12.87,,
4,154.0,현대홈쇼핑,93200.0,1600.0,-1.69%,5000.0,10150.0,11184.0,1123.0,6.71,7.53,,
5,155.0,KODEX 코스닥150 레버리지,6600.0,100.0,-1.49%,0.0,23079416.0,11075.0,,,,,
9,156.0,현대그린푸드,11300.0,150.0,-1.31%,500.0,76549.0,11041.0,1372.0,10.7,4.52,,
10,157.0,코오롱인더,40750.0,750.0,-1.81%,5000.0,53687.0,10994.0,1449.0,18.11,0.76,,
11,158.0,영풍,592000.0,4000.0,-0.67%,5000.0,793.0,10905.0,-1089.0,9.85,0.97,,
12,159.0,KODEX 종합채권(AA-이상)액티브,109425.0,125.0,-0.11%,0.0,45021.0,10884.0,,,,,
13,160.0,JB금융지주,5460.0,100.0,-1.80%,5000.0,210747.0,10755.0,4168.0,3.73,0.68,,
17,161.0,현대상선,3315.0,70.0,-2.07%,5000.0,473104.0,10494.0,-5587.0,-1.31,-20.47,,
18,162.0,롯데칠성,131000.0,3500.0,-2.60%,500.0,17472.0,10471.0,850.0,-23.91,-1.47,,
19,163.0,에스엘,21600.0,0.0,0.00%,500.0,59874.0,10412.0,167.0,24.3,1.93,,
20,164.0,TRUE 코스피 양매도 5% OTM ETN,10455.0,0.0,0.00%,0.0,203398.0,10340.0,,,,,
21,165.0,더블유게임즈,56500.0,900.0,-1.57%,500.0,39358.0,10317.0,1358.0,11.6,8.8,,
25,166.0,한국콜마,43550.0,750.0,-1.69%,500.0,269880.0,9965.0,900.0,22.29,2.58,,
26,167.0,오리온홀딩스,15600.0,250.0,-1.58%,500.0,30249.0,9773.0,2305.0,17.35,2.74,,
27,168.0,KODEX 삼성그룹,6010.0,10.0,+0.17%,0.0,1253059.0,9640.0,,,,,
28,169.0,롯데제과,150000.0,1000.0,-0.66%,500.0,4310.0,9625.0,644.0,68.59,0.38,,
29,170.0,태영건설,12550.0,300.0,-2.33%,500.0,104896.0,9588.0,4635.0,5.23,5.03,,
33,171.0,코리안리,7780.0,30.0,+0.39%,500.0,157423.0,9365.0,1436.0,9.1,0.99,,
34,172.0,KODEX 200TR,8045.0,0.0,0.00%,0.0,936654.0,9328.0,,,,,
35,173.0,아이에스동서,30000.0,550.0,-1.80%,500.0,59381.0,9268.0,3874.0,3.77,10.95,,
36,174.0,대웅,15700.0,350.0,-2.18%,500.0,39521.0,9128.0,858.0,30.54,2.08,,
37,175.0,한솔케미칼,80200.0,600.0,-0.74%,5000.0,21470.0,9059.0,936.0,12.86,8.94,,
41,176.0,다우기술,20150.0,0.0,0.00%,500.0,25657.0,9041.0,3239.0,8.19,1.43,,
42,177.0,녹십자홀딩스,19050.0,100.0,+0.53%,500.0,23525.0,8959.0,493.0,51.07,0.75,,
43,178.0,KODEX 단기채권PLUS,101365.0,5.0,0.00%,0.0,33884.0,8942.0,,,,,
44,179.0,넥센타이어,9120.0,20.0,+0.22%,500.0,96810.0,8907.0,1824.0,9.18,3.43,,
45,180.0,쿠쿠홈시스,39650.0,1200.0,-2.94%,100.0,38384.0,8896.0,675.0,25.85,8.11,,
49,181.0,후성,9580.0,220.0,+2.35%,500.0,5284185.0,8872.0,396.0,28.77,7.41,,
50,182.0,부광약품,13900.0,500.0,-3.47%,500.0,203777.0,8831.0,351.0,6.06,39.92,,
51,183.0,동원시스템즈,34300.0,650.0,-1.86%,5000.0,13775.0,8787.0,788.0,16.62,5.52,,
52,184.0,휴켐스,21350.0,350.0,-1.61%,1000.0,40037.0,8728.0,1392.0,8.35,12.04,,
53,185.0,롯데관광개발,12450.0,50.0,+0.40%,500.0,31649.0,8592.0,30.0,-6.08,-24.85,,
57,186.0,종근당,81900.0,900.0,-1.09%,2500.0,8150.0,8493.0,757.0,20.03,6.01,,
58,187.0,TIGER 단기통안채,101140.0,5.0,0.00%,0.0,20982.0,8315.0,,,,,
59,188.0,애경산업,31500.0,1250.0,-3.82%,1000.0,201851.0,8299.0,792.0,13.08,19.27,,
60,189.0,동원F&B,215000.0,2500.0,-1.15%,5000.0,7767.0,8297.0,872.0,14.63,4.09,,
61,190.0,동원산업,224500.0,3000.0,-1.32%,5000.0,2606.0,8256.0,1777.0,10.93,2.76,,
65,191.0,KODEX MSCI Korea TR,7945.0,5.0,-0.06%,0.0,290348.0,7897.0,,,,,
66,192.0,덴티움,71100.0,700.0,-0.97%,500.0,10162.0,7870.0,420.0,22.97,9.16,,
67,193.0,화승엔터프라이즈,12950.0,350.0,-2.63%,500.0,35830.0,7839.0,403.0,45.6,2.46,,
68,194.0,영진약품,4240.0,50.0,-1.17%,500.0,592919.0,7755.0,-22.0,-128.48,-3.05,,
69,195.0,HANARO 200,25665.0,25.0,-0.10%,0.0,3556.0,7674.0,,,,,
73,196.0,쿠쿠홀딩스,107500.0,1000.0,-0.92%,500.0,2194.0,7646.0,679.0,8.21,13.68,,
74,197.0,S&T모티브,51900.0,100.0,-0.19%,5000.0,33199.0,7589.0,563.0,13.49,4.72,,
75,198.0,ARIRANG 200,25755.0,25.0,-0.10%,0.0,234206.0,7572.0,,,,,
76,199.0,SPC삼립,87100.0,700.0,-0.80%,5000.0,5368.0,7516.0,599.0,17.84,5.67,,
77,200.0,대한유화,115500.0,2000.0,+1.76%,5000.0,28451.0,7508.0,3188.0,2.92,13.02,,
1,201.0,HDC,12500.0,150.0,-1.19%,5000.0,107274.0,7468.0,954.0,0.74,18.72,,
2,202.0,대덕전자,9530.0,100.0,-1.04%,500.0,385788.0,7434.0,348.0,1.85,,,
3,203.0,대상,21350.0,450.0,-2.06%,1000.0,152199.0,7397.0,1202.0,11.85,2.94,,
4,204.0,아모레퍼시픽우,70000.0,300.0,-0.43%,500.0,3717.0,7390.0,,14.54,,,
5,205.0,NICE,19500.0,800.0,-3.94%,500.0,78097.0,7387.0,1283.0,12.28,5.07,,
9,206.0,롯데하이마트,31150.0,500.0,-1.58%,5000.0,74231.0,7354.0,1865.0,8.6,2.7,,
10,207.0,한섬,29800.0,450.0,-1.49%,500.0,59153.0,7340.0,920.0,9.87,6.02,,
11,208.0,CJ CGV,34250.0,550.0,-1.58%,500.0,73866.0,7248.0,777.0,-5.15,-8.03,,
12,209.0,한세실업,18050.0,200.0,-1.10%,500.0,107894.0,7220.0,386.0,-14.22,-4.21,,
13,210.0,코스맥스,71300.0,1200.0,-1.66%,500.0,103206.0,7165.0,523.0,21.97,2.11,,
17,211.0,동아에스티,83300.0,1000.0,-1.19%,5000.0,9709.0,7034.0,394.0,87.87,0.87,,
18,212.0,미래에셋생명,3900.0,25.0,-0.64%,5000.0,40837.0,6904.0,1424.0,7.05,0.3,,
19,213.0,LIG넥스원,31250.0,50.0,+0.16%,5000.0,97479.0,6875.0,241.0,153.94,0.21,,
20,214.0,영원무역홀딩스,50400.0,800.0,-1.56%,500.0,3067.0,6872.0,2549.0,7.97,5.05,,
21,215.0,SK가스,74900.0,600.0,-0.79%,5000.0,4301.0,6847.0,1030.0,11.46,1.37,,
25,216.0,락앤락,12550.0,800.0,-5.99%,500.0,330393.0,6800.0,365.0,22.65,4.16,,
26,217.0,효성티앤씨,157000.0,1000.0,-0.63%,5000.0,5598.0,6794.0,1251.0,18.49,,,
27,218.0,KODEX Top5PlusTR,12095.0,10.0,+0.08%,0.0,232.0,6773.0,,,,,
28,219.0,한전기술,17650.0,200.0,-1.12%,200.0,27516.0,6746.0,215.0,52.22,1.69,,
29,220.0,QV 코스피 변동성 매칭형 양매도 ETN,9620.0,20.0,+0.21%,0.0,1.0,6734.0,,,,,
33,221.0,KODEX 코스닥 150,8850.0,70.0,-0.78%,0.0,2551532.0,6730.0,,,,,
34,222.0,LG상사,17050.0,0.0,0.00%,5000.0,63725.0,6609.0,1657.0,-9.39,-0.72,,
35,223.0,DB하이텍,14800.0,100.0,+0.68%,5000.0,382549.0,6571.0,1130.0,7.59,8.43,,
36,224.0,롯데정보통신,41950.0,250.0,+0.60%,5000.0,47960.0,6459.0,390.0,19.02,3.63,,
37,225.0,KOSEF 200,25870.0,30.0,-0.12%,0.0,29693.0,6442.0,,,,,
41,226.0,KINDEX 200,25745.0,30.0,-0.12%,0.0,389160.0,6333.0,,,,,
42,227.0,TIGER MSCI Korea TR,9975.0,0.0,0.00%,0.0,0.0,6274.0,,,,,
43,228.0,제주항공,23750.0,250.0,-1.04%,5000.0,69228.0,6260.0,1012.0,8.83,7.74,,
44,229.0,효성첨단소재,137000.0,7000.0,+5.38%,5000.0,257292.0,6138.0,641.0,-13.41,,,
45,230.0,풍산,21850.0,650.0,-2.89%,5000.0,54885.0,6123.0,1075.0,9.88,2.3,,
49,231.0,아주캐피탈,10600.0,50.0,+0.47%,5000.0,31590.0,6100.0,1100.0,6.7,1.58,,
50,232.0,대신증권,11900.0,50.0,+0.42%,5000.0,89547.0,6042.0,1585.0,7.33,0.77,,
51,233.0,LF,20200.0,150.0,-0.74%,5000.0,77628.0,5906.0,1195.0,7.1,5.01,,
52,234.0,동양생명,3635.0,55.0,-1.49%,5000.0,245510.0,5865.0,726.0,10.72,0.18,,
53,235.0,동국제강,6140.0,90.0,-1.44%,5000.0,175611.0,5860.0,1450.0,-1.97,-5.15,,
57,236.0,지역난방공사,50100.0,400.0,-0.79%,5000.0,3823.0,5801.0,145.0,-2.56,,,
58,237.0,현대건설기계,29050.0,200.0,-0.68%,5000.0,53468.0,5723.0,2087.0,6.36,5.27,,
59,238.0,빙그레,57600.0,600.0,-1.03%,5000.0,26305.0,5674.0,393.0,16.59,5.3,,
60,239.0,세아베스틸,15800.0,250.0,-1.56%,5000.0,18972.0,5666.0,559.0,27.01,0.68,,
61,240.0,미래에셋대우2우B,4000.0,10.0,-0.25%,5000.0,174985.0,5600.0,,6.94,,,
65,241.0,BGF,5820.0,80.0,-1.36%,1000.0,123813.0,5571.0,295.0,10.12,3.8,,
66,242.0,삼양식품,73300.0,700.0,-0.95%,5000.0,28513.0,5522.0,552.0,15.86,8.71,,
67,243.0,보령제약,12400.0,150.0,+1.22%,500.0,275911.0,5481.0,250.0,27.02,4.76,,
68,244.0,한일현대시멘트,32200.0,250.0,-0.77%,5000.0,20094.0,5416.0,205.0,-18.38,-5.62,,
69,245.0,씨에스윈드,31300.0,1000.0,+3.30%,500.0,77468.0,5410.0,327.0,91.25,1.42,,
