종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA
웅진씽크빅,2065,30,-1.43%,500,460454,2771,340,4.35,3.76
아세아제지,30850,100,-0.32%,5000,15836,2763,983,3.51,9.96
신대양제지,68400,100,0.15%,5000,9158,2756,1166,3.48,13.37
나노메딕스,8120,310,-3.68%,500,1983298,2737,-114,-29,-11.65
KOSEF 200TR,29195,40,-0.14%,0,11251,2730,,,
경방,9800,40,-0.41%,500,4271,2687,410,13.3,1.57
동아지질,23350,100,-0.43%,500,103864,2685,261,14.33,6.91
풍산홀딩스,34100,950,-2.71%,5000,5716,2672,365,7.63,4.18
KPX케미칼,54600,600,-1.09%,5000,1393,2643,239,23.91,2.22
광주신세계,165000,2000,1.23%,5000,556,2640,501,5.85,6.67
무학,9210,10,-0.11%,200,119495,2625,-100,-12.95,-3.14
IHQ,1785,20,-1.11%,500,441387,2610,99,-25.87,-4.07
제일파마홀딩스,15950,0,0.00%,500,5757,2548,109,13.11,1.25
국도화학,43650,650,-1.47%,5000,4301,2536,686,5.64,5.68
S&T홀딩스,15550,50,-0.32%,500,7423,2535,727,9.24,3.46
한국주철관,11100,150,-1.33%,500,60659,2531,66,38.54,2.09
삼익THK,12000,300,-2.44%,500,37785,2520,255,13.92,5.46
한국금융지주우,42950,350,-0.81%,5000,3741,2516,,4.99,
현대일렉트릭,12350,300,-2.37%,5000,61666,2514,-1006,-1.41,-8.1
동성코퍼레이션,5500,60,-1.08%,1000,62515,2499,78,-77.46,-0.58
코스모신소재,12550,200,1.62%,1000,202236,2478,151,23.11,4.8
동화약품,8860,290,-3.17%,1000,68441,2475,112,24.61,
하이트진로홀딩스,10600,300,2.91%,5000,3271699,2460,1035,-92.17,0.22
TIGER 차이나CSI300레버리지(합성),18615,285,1.55%,0,130176,2457,,,
현대상사,18550,150,-0.80%,5000,43734,2454,505,-27.85,-0.73
조광피혁,36900,0,0.00%,5000,642,2454,150,17.97,5.51
KBSTAR 코스피,19590,45,-0.23%,0,2705,2449,,,
롯데손해보험,1820,35,-1.89%,1000,61615,2444,1213,2.68,0.68
아세아,111500,1000,0.90%,5000,1830,2443,1837,4.88,4.3
대상홀딩스,6700,30,-0.45%,1000,36069,2426,1329,10.6,1.73
하나 코스피 변동성추세 추종 양매도 ETN,9630,0,0.00%,0,22,2408,,,
대원강업,3870,80,-2.03%,500,19099,2399,422,13.77,2.12
삼양패키징,16850,100,-0.59%,5000,16794,2394,350,11.18,4.11
선진,10050,50,-0.50%,500,51153,2390,348,13.33,2.31
CJ4우(전환),56100,300,-0.53%,5000,21874,2371,,7.25,
미원상사,47000,900,-1.88%,500,2032,2366,272,11.23,9.04
TIGER 차이나CSI300,8745,90,1.04%,0,297500,2344,,,
한솔테크닉스,7290,90,1.25%,5000,295444,2341,156,-8.76,-3.92
대신증권우,9000,0,0.00%,5000,13260,2340,,5.55,
KBSTAR 단기통안채,104785,15,0.01%,0,297344,2326,,,
AJ렌터카,10500,50,-0.47%,500,50886,2325,218,61.4,0.28
티웨이항공,4950,180,-3.51%,500,547549,2325,478,5.24,
애경유화,7240,110,-1.50%,500,105396,2320,520,4.37,11.03
흥국화재,3590,50,-1.37%,5000,14038,2306,628,4.64,0.44
해태제과식품,7920,80,-1.00%,500,17372,2306,230,94.29,0.3
세방,11900,0,0.00%,500,5328,2298,114,6.3,4.48
LS전선아시아,7500,80,-1.06%,500,47061,2297,180,23.22,3.38
TIGER 200 IT,19650,75,0.38%,0,13816,2291,,,
이연제약,13650,50,0.37%,500,10924,2289,25,170.62,0.45
한국철강,4970,100,-1.97%,1000,37153,2289,254,18.83,1.36
KPX홀딩스,54000,200,-0.37%,5000,200,2281,338,62,1.01
KISCO홀딩스,12300,0,0.00%,1000,15638,2273,624,8.97,2.39
일신석재,2930,100,-3.30%,500,4241660,2269,14,586,0.52
아시아나IDT,20300,50,0.25%,500,123906,2253,158,21.39,4.66
S-Oil우,54900,400,-0.72%,2500,2270,2208,,24.81,
일성신약,82800,700,-0.84%,5000,179,2202,23,74.8,0.85
KODEX 코스닥150선물인버스,9190,75,0.82%,0,19042441,2196,,,
KBSTAR 대형고배당10TR,10005,30,0.30%,0,175,2191,,,
AJ네트웍스,4650,70,-1.48%,1000,27984,2177,-213,4.14,2.18
코오롱글로벌,8620,180,-2.05%,5000,22888,2173,768,13.49,0.67
KINDEX 베트남VN30(합성),13825,5,-0.04%,0,161291,2171,,,
휴비스,6280,110,-1.72%,5000,42713,2167,344,11.72,2.04
예스코홀딩스,36000,50,0.14%,5000,738,2160,252,30.69,0.72
유진투자증권,2195,20,-0.90%,5000,62461,2126,659,4.57,0.64
KINDEX 중국본토CSI300,22690,195,0.87%,0,15007,2110,,,
한솔홀딩스,4460,25,-0.56%,5000,124277,2104,381,-5.4,-2.79
사조산업,41450,350,-0.84%,5000,5140,2072,543,5.82,3.69
해성디에스,12100,0,0.00%,5000,24879,2057,268,9.87,6.95
코오롱플라스틱,5380,50,0.94%,1000,290055,2044,194,16.6,3.53
세아제강지주,49350,1950,-3.80%,5000,12657,2044,805,0.79,13.29
계룡건설,22850,450,-1.93%,5000,2571,2041,1537,2.29,5.71
GS글로벌,2465,5,-0.20%,2500,141950,2034,561,9.9,1.54
SG세계물산,1005,17,1.72%,500,1560111,2034,39,30.45,2.03
S&T중공업,6110,10,0.16%,2500,3623,2032,161,10.25,2.35
코오롱,16050,1500,-8.55%,5000,1075520,2027,1115,144.59,0.05
경보제약,8470,30,0.36%,500,29202,2025,173,15.43,6.15
신라교역,12650,50,0.40%,500,22229,2024,74,5.01,7.15
QV 코스피 양매도 5% OTM ETN,9995,10,0.10%,0,1,1999,,,
부국증권,19100,100,-0.52%,5000,951,1981,373,8.8,2.06
일신방직,82100,100,0.12%,5000,143,1970,299,9.26,2.44
제이에스코퍼레이션,14600,400,-2.67%,100,25240,1947,45,33.26,3.09
LS네트웍스,2460,55,-2.19%,5000,87699,1939,38,11.88,1.28
신성이엔지,1110,10,-0.89%,500,481072,1928,-42,17.9,1.95
삼영전자,9630,160,-1.63%,500,29644,1926,131,12.72,3.01
DI동일,79500,1000,-1.24%,5000,1724,1925,445,7950,1.47
성신양회,7840,200,-2.49%,5000,211636,1922,298,11.88,1.59
디피씨,4605,25,0.55%,500,369802,1919,133,17.06,6.05
인디에프,3255,95,-2.84%,500,2999444,1918,20,813.75,0.16
신세계 I&C,109500,4000,-3.52%,5000,9748,1883,149,6.44,10.98
동부건설,8980,20,-0.22%,5000,37644,1875,318,2.56,10.99
삼양통상,61600,400,-0.65%,5000,3910,1848,321,7.31,7.93
DB금융투자,4350,25,-0.57%,5000,30726,1846,864,3.4,0.77
KINDEX 단기통안채,101290,5,0.00%,0,1817,1839,,,
SIMPAC,2805,10,0.36%,500,106420,1835,102,1.92,13.02
유수홀딩스,7040,390,5.86%,2500,300519,1833,326,20.35,4.75
아남전자,2375,35,-1.45%,500,637455,1832,-120,-13.12,-9.99
세진중공업,4735,35,0.74%,500,122225,1817,84,102.93,0.49
한신공영,15650,50,0.32%,5000,6926,1811,2145,1.11,8.8
신원,2115,60,-2.76%,500,1953590,1799,15,-27.12,-1.52
알루코,2410,25,-1.03%,500,252533,1796,121,92.69,0.54
대성산업,3965,5,-0.13%,5000,43927,1794,61,-20.03,-0.62
TIGER 코스피,19600,20,-0.10%,0,42144,1793,,,
유니퀘스트,6530,10,0.15%,500,130285,1778,20,14.77,3.6
세아제강,62200,1600,-2.51%,5000,3190,1764,112,8.25,
TIGER 글로벌4차산업혁신기술(합성 H),11470,35,-0.30%,0,54607,1755,,,
한국패러랠,2190,5,-0.23%,0,9203,1752,,,
팜스코,4770,85,-1.75%,500,36408,1752,237,46.76,0.43
신한 레버리지 WTI원유 선물 ETN(H),11550,15,-0.13%,0,65756,1732,,,
현대차3우B,70600,200,0.28%,5000,2923,1715,,13.19,
이수페타시스,4130,5,-0.12%,1000,186406,1704,75,-25.18,-1.49
에이프로젠제약,793,6,-0.75%,500,1151048,1704,-8,-88.11,-0.65
STX엔진,7380,140,1.93%,2500,1646229,1698,313,7.31,3.32
동아타이어,12350,150,-1.20%,500,7901,1696,124,10.48,4.51
케이씨,12500,250,-1.96%,500,23792,1694,761,0.87,44.43
한창제지,2835,15,0.53%,500,1285367,1692,117,17.61,6.3
TIGER 중국소비테마,6370,60,-0.93%,0,12591,1659,,,
대한제강,6730,170,-2.46%,1000,58316,1659,25,-9.68,-2.52
세원셀론텍,2710,25,-0.91%,500,107155,1653,-97,-9.78,-4.96
삼익악기,1820,5,0.28%,500,4223294,1648,237,11.9,2.29
토니모리,9310,20,0.22%,200,255834,1642,-50,-21.75,-3.87
자화전자,9100,130,-1.41%,500,59665,1629,-77,-126.39,-0.32
태경산업,5570,20,-0.36%,500,26957,1628,234,13.52,2.84
KBSTAR 코스닥150,8780,45,-0.51%,0,8610,1626,,,
삼광글라스,33450,300,-0.89%,5000,1934,1624,-280,-14.06,-1.48
STX,8230,190,-2.26%,2500,698280,1624,-148,17.47,1.54
NH투자증권우,8570,10,0.12%,5000,41432,1617,,7.13,
대한제당,18250,100,-0.54%,2500,1072,1613,307,18.03,0.85
동부제철,5920,50,0.85%,5000,7919,1612,-656,-1.21,-4.53
크라운해태홀딩스,10850,100,-0.91%,500,118165,1611,415,35.69,0.83
사조동아원,1130,20,-1.74%,500,771522,1595,258,10,3.28
일진홀딩스,3230,10,-0.31%,1000,111821,1594,241,-111.38,0.08
사조대림,17150,300,-1.72%,5000,20210,1572,363,10.31,2.05
KSS해운,6750,50,-0.74%,500,12796,1565,471,7.52,2.3
HDC현대EP,4900,10,-0.20%,500,38317,1563,144,18.42,1.4
신한 레버리지 천연가스 선물 ETN(H),7785,200,-2.50%,0,216218,1557,,,
DB,773,6,-0.77%,500,329483,1555,16,-38.65,-1.64
HDC아이콘트롤스,9400,0,0.00%,500,4950,1547,147,6.38,8.57
엘브이엠씨홀딩스,2990,30,-0.99%,0,88839,1528,-148,-3.44,-7.64
동양네트웍스,1505,25,1.69%,500,422330,1523,-198,-12.44,-7.95
코스모화학,9430,90,-0.95%,5000,155117,1519,62,-9.2,-1.87
KODEX 배당가치,9470,10,0.11%,0,26,1515,,,
강남제비스코,23300,150,0.65%,1000,2567,1514,17,3.92,6.25
삼성SDI우,93400,200,0.21%,5000,5973,1511,,9.38,
현대약품,4700,220,-4.47%,500,2104061,1504,12,162.07,0.59
미래에셋 코스피 양매도 5% OTM ETN,10005,0,0.00%,0,0,1501,,,
화성산업,12050,0,0.00%,5000,16084,1500,671,3.05,8.09
이수화학,9820,230,-2.29%,5000,51974,1500,65,22.02,-0.17
대림산업우,39200,250,-0.63%,5000,2397,1490,,2.34,
티웨이홀딩스,1935,155,-7.42%,500,5098282,1484,433,5.62,8.47
KTB투자증권,2450,30,-1.21%,5000,96234,1478,371,5.13,1.86
LG우,44550,0,0.00%,5000,1344,1477,,4.2,
아모레G우,22900,250,-1.08%,500,4321,1476,,14.31,
상상인증권,1535,10,0.66%,1000,92214,1475,-114,-7.87,-1.46
NPC,4010,55,1.39%,500,65689,1472,149,14.22,3.07
샘표식품,31800,0,0.00%,500,24498,1453,215,8.08,8.96
삼성 인버스 2X 천연가스 선물 ETN,14510,350,2.47%,0,10717,1451,,,
노루홀딩스,10900,200,-1.80%,500,5376,1449,102,-17.96,0.27
서연이화,5360,40,-0.74%,500,80855,1449,111,-21.88,-0.47
SK이노베이션우,116000,1000,-0.85%,5000,1588,1448,,6.58,
쌍방울,1120,30,2.75%,500,9135790,1446,6,-1.52,-18.98
태평양물산,2895,80,-2.69%,500,120179,1445,325,14.33,1.91
삼화페인트,5450,120,2.25%,500,257620,1441,79,187.93,0.15
노루페인트,7200,50,-0.69%,500,36824,1440,227,11.56,2.13
종근당바이오,27500,150,-0.54%,2500,25934,1438,70,18.08,4.37
대성에너지,5220,20,-0.38%,1000,1528,1436,160,11.13,
BYC,229000,3000,1.33%,5000,674,1430,213,21.14,1.23
남성,3945,45,1.15%,500,2534657,1429,10,-40.67,-1.75
핸즈코퍼레이션,6520,20,0.31%,500,6618,1425,105,33.96,0.59
백산,5840,40,0.69%,500,428448,1413,215,9.26,6.14
KG케미칼,10850,250,-2.25%,5000,27169,1412,725,40.19,1.86
대동공업,5950,300,-4.80%,1000,346557,1412,52,114.42,0.2
세이브존I&C,3425,20,-0.58%,1000,6372,1406,339,5.53,4.47
이아이디,310,17,-5.20%,200,10944623,1402,-34,-8.61,-7.46
CJ제일제당 우,105500,1500,-1.40%,5000,1433,1400,,1.95,
TIGER 경기방어,9150,45,-0.49%,0,26154,1400,,,
동일산업,57700,100,-0.17%,5000,1511,1399,173,8.94,3.88
카프로,3460,0,0.00%,500,1000235,1384,156,13.78,2.24
미창석유,79500,0,0.00%,5000,935,1383,126,12.9,3.8
모나리자,3750,100,2.74%,500,9740694,1371,-25,-75,-2.29
대양금속,11100,50,-0.45%,500,71123,1367,75,52.36,5.91
진양홀딩스,2440,0,0.00%,500,12494,1364,93,128.42,0.89
삼성출판사,13600,150,1.12%,500,438681,1360,33,412.12,0.24
삼일제약,20900,200,-0.95%,1000,21082,1358,-57,-14.79,-6.04
디씨엠,11550,350,-2.94%,500,2612,1351,85,20.26,3.84
KODEX 단기변동금리부채권액티브,101135,10,0.01%,0,1000,1351,,,
한국공항,42600,50,0.12%,5000,2656,1349,247,7.16,4.48
신한 인버스 2X 천연가스 선물 ETN(H),6740,190,2.90%,0,32437,1348,,,
미래산업,212,9,-4.07%,100,38434253,1346,-114,-10.1,-17.38
제주은행,4185,40,-0.95%,5000,7642,1345,358,3.6,0.48
보해양조,1130,30,-2.59%,500,6389307,1344,-110,-3.91,-13.33
동양철관,1130,25,-2.16%,500,586063,1343,-40,-17.12,-4.19
남영비비안,19500,1300,7.14%,1000,1450145,1339,-39,-21.26,-4.2
유화증권,11800,0,0.00%,5000,5834,1338,56,29.14,0.95
마니커,843,13,-1.52%,500,6375805,1336,5,-9.69,-5.05
텔코웨어,13700,100,-0.72%,500,10904,1329,60,20.95,5.18
KEC,1135,0,0.00%,500,632944,1325,33,87.31,0.49
현대비앤지스틸,8780,30,0.34%,5000,19103,1324,350,6.86,3.27
모나미,6930,1030,17.46%,1000,25116876,1310,69,216.56,0.45
S&TC,17150,100,0.59%,500,28079,1287,-19,70.58,0.63
한국화장품,7990,80,1.01%,500,470503,1284,-75,-16.58,-7.97
파워 200,26110,5,-0.02%,0,10101,1279,,,
디와이,4860,10,-0.21%,500,30172,1279,463,21.41,3.06
고려개발,4200,0,0.00%,5000,0,1278,400,221.05,0.1
코스맥스비티아이,13300,300,-2.21%,500,9989,1277,241,13.43,1.55
인천도시가스,29050,50,-0.17%,5000,661,1271,180,7.88,
대영포장,1170,20,-1.68%,500,766610,1268,95,11.82,4.98
성창기업지주,1815,55,-2.94%,500,61199,1266,-86,-16.06,-1.22
웰바이오텍,3000,130,-4.15%,500,481723,1266,-85,-3.83,-16.46
광전자,2160,40,1.89%,500,152404,1252,25,19.12,2.53
대한화섬,94100,2200,-2.28%,5000,54,1250,22,2.82,7.75
한국ANKOR유전,1770,10,0.57%,0,10997,1239,,,
대성홀딩스,7690,100,1.32%,1000,5930,1237,184,6.33,2.14
대호에이엘,4555,65,-1.41%,500,243052,1236,22,162.68,0.86
유니온머티리얼,2930,165,5.97%,500,4564389,1231,5,-14.02,-6.24
샘표,42650,900,2.16%,1000,155807,1227,197,9.54,6.72
경동도시가스,26000,100,-0.38%,2500,3389,1226,427,3.6,4.59
화승알앤에이,1885,15,-0.79%,500,34583,1217,539,-3.62,-2.67
CJ씨푸드,3380,10,-0.29%,500,5084440,1214,41,56.33,1.75
일동홀딩스,11000,50,0.46%,1000,2653,1210,-7,-32.54,-1.42
한국화장품제조,26650,350,1.33%,500,489451,1208,48,36.41,4.69
디와이파워,10850,300,-2.69%,500,75906,1198,358,4.7,9.93
우진,6080,580,-8.71%,500,3600455,1183,-11,-14.48,-3.59
코리아써키트,4990,60,-1.19%,500,6368,1179,-179,-3.82,-5.27
삼성제약,2010,40,-1.95%,500,76940,1178,-48,-51.54,-1.32
백광산업,2620,30,1.16%,500,127607,1177,285,5.04,8.4
극동유화,3375,20,-0.59%,500,28169,1177,186,7.23,5.94
KODEX 골드선물(H),10735,70,-0.65%,0,239996,1170,,,
SH에너지화학,1045,5,0.48%,500,704298,1161,21,49.76,1.64
벽산,1690,45,-2.59%,500,300371,1159,99,14.7,1.82
지투알,6990,10,-0.14%,1000,4803,1158,254,6.33,3.03
TIGER 200선물레버리지,8095,30,-0.37%,0,571316,1158,,,
한라,2975,45,-1.49%,5000,30689,1157,602,-11.49,-0.6
보락,1920,5,-0.26%,200,323343,1150,13,106.67,2.1
제이준코스메틱,4325,90,-2.04%,500,187156,1147,71,-92.02,
카리스국보,5700,390,-6.40%,500,1478887,1143,-53,-25,-6.59
효성ITX,9870,30,-0.30%,500,7118,1141,113,16.31,5.6
신일산업,1605,0,0.00%,500,1291075,1140,148,9.79,12.44
대현,2570,50,1.98%,500,110211,1138,179,7.76,5.92
TIGER 미국S&P500선물(H),34505,120,0.35%,0,77705,1130,,,
삼호개발,4510,45,-0.99%,500,39304,1128,244,5.42,7.74
세아특수강,13150,100,0.77%,5000,5913,1127,197,10.1,2.15
한국내화,4925,185,-3.62%,500,174710,1126,115,15.73,3.41
유니켐,1730,40,-2.26%,500,402231,1124,132,8.83,11.08
무림페이퍼,2695,10,-0.37%,2500,52660,1121,1241,3.24,3.13
KBSTAR 코스닥150선물레버리지,6390,125,-1.92%,0,50808,1120,,,
KODEX KRX300,11685,15,-0.13%,0,6327,1110,,,
삼성물산우B,68000,600,0.89%,100,2900,1107,,7.6,
삼원강재,2760,20,-0.72%,500,10438,1104,131,9.26,4.78
대창,1200,30,-2.44%,500,1597721,1094,173,11.11,2.19
황금에스티,7780,70,-0.89%,500,63971,1089,240,7.5,4.49
한전산업,3340,5,0.15%,500,14797,1089,142,8.98,7.95
대한방직,20500,0,0.00%,1000,2698,1086,-134,6.79,5.1
남광토건,11050,150,-1.34%,5000,22309,1086,111,18.99,3.63
코오롱머티리얼,1575,10,-0.63%,1000,95610,1081,-327,-0.97,-31.56
일진디스플,3805,5,0.13%,500,64591,1077,2,64.49,1.02
HSD엔진,3265,80,-2.39%,1000,114681,1076,-353,-8.48,-1.89
부산산업,101500,1500,-1.46%,5000,9662,1072,45,35.39,2.82
써니전자,3330,45,1.37%,500,1283606,1072,6,26.43,7.98
비티원,3180,60,-1.85%,500,95912,1070,9,45.43,8.83
대신 골드 커버드콜 타겟 5%인컴 ETN(H),10695,40,-0.37%,0,5216,1070,,,
테이팩스,22600,500,2.26%,500,27625,1066,75,20.91,3.19
현대코퍼레이션홀딩스,11700,300,-2.50%,5000,14595,1065,79,23.88,1.93
기신정기,3635,5,-0.14%,500,8883,1061,103,7.04,6.2
삼성전기우,36400,350,-0.95%,5000,2114,1058,,4.3,
일진전기,2840,40,-1.39%,1000,27487,1053,52,-7.28,-1.88
조선선재,83200,600,-0.72%,500,867,1046,136,8.9,10.36
한화갤러리아타임월드,17400,250,-1.42%,5000,4941,1044,8,10.94,2.03
DRB동일,5230,20,0.38%,500,2949,1042,270,17.67,1.58
크라운제과,8270,60,-0.72%,200,43320,1036,203,8.04,4.14
휴니드,7290,180,2.53%,5000,1220551,1029,300,4.75,11.41
삼성 KTOP30 ETN,10285,15,0.15%,0,115211,1028,,,
비상교육,7890,60,-0.75%,500,10576,1025,103,41.97,0.91
신세계건설,25550,400,-1.54%,5000,3562,1022,218,2.37,6
백광소재,3695,35,0.96%,500,692830,1019,88,26.02,2
명문제약,4150,95,-2.24%,500,147562,1018,49,103.75,0.14
천일고속,71200,1200,1.71%,5000,1664,1018,-32,-491.03,-0.28
삼화전기,15300,300,-1.92%,1000,65990,1012,70,18.11,5.36
KBSTAR 단기국공채액티브,101695,15,-0.01%,0,156021,1010,,,
세종공업,4465,35,0.79%,500,99809,1007,2,-4.68,-2.19
삼화왕관,46500,950,-2.00%,5000,2268,1002,108,10.18,5.82
대유에이텍,928,1,-0.11%,500,106370,992,67,-3.26,-4.51
TIGER 200선물인버스2X,8565,15,0.18%,0,1091308,985,,,
호전실업,12300,750,6.49%,500,9251,984,108,22.16,1.61
영흥철강,1145,20,-1.72%,500,140603,983,-17,-18.77,-1.76
포스코강판,16350,300,-1.80%,5000,4983,981,178,8.65,2.45
디아이,3110,40,-1.27%,500,39127,980,215,9.42,7.13
금강공업,4010,25,-0.62%,1000,206529,979,253,6.91,1.85
큐로,731,6,-0.81%,500,154757,978,-154,-5.54,-8.1
신영와코루,108500,1000,-0.91%,5000,14,976,8,36.05,0.81
지엠비코리아,5100,120,-2.30%,500,46409,973,41,728.57,-0.15
오리엔트바이오,425,6,-1.39%,500,740752,971,-101,-3.94,-22.02
한솔홈데코,1195,5,-0.42%,1000,197161,963,92,8.24,3.81
계양전기,2950,0,0.00%,500,23108,962,87,10.5,3.62
KODEX 국고채3년,57185,30,-0.05%,0,1192,961,,,
한창,2750,95,-3.34%,500,1065442,957,46,-59.78,1.47
TIGER 200TR,13095,15,-0.11%,0,32,956,,,
금양,2170,20,-0.91%,500,17548,956,135,4.63,10.11
대우부품,2000,40,-1.96%,500,299450,953,21,83.33,1.69
화신,2720,20,0.74%,500,19970,950,-211,-1.66,-6.82
성보화학,4735,0,0.00%,500,3527,948,3,15.47,3.33
KR모터스,500,4,-0.79%,500,397260,947,-163,-2.65,-18.56
웅진,1275,20,-1.54%,500,80868,946,-842,-0.91,-12.55
CJ우,41500,200,-0.48%,5000,6997,938,,5.36,
퍼스텍,1995,15,-0.75%,500,194244,933,-224,-2.62,-21.51
신한 코스피 콘도르 4/10% ETN,9320,0,0.00%,0,0,932,,,
조비,17950,550,-2.97%,5000,23555,932,19,280.47,0.35
한미글로벌,8490,30,-0.35%,500,45455,930,110,13.31,3.78
대림씨엔에스,7300,60,-0.82%,1000,2541,929,37,-12.63,-2.1
KB 코스피 마운틴 ETN,9290,0,0.00%,0,0,929,,,
한양증권,7260,20,-0.27%,5000,12253,924,56,20.68,0.26
화인베스틸,3120,65,-2.04%,500,114880,922,63,47.27,0.89
깨끗한나라,2475,105,4.43%,1000,1239836,922,-292,-2.75,-5.74
다스코,5980,170,-2.76%,500,60635,921,194,5.07,8.29
신흥,9590,30,0.31%,500,511,921,11,30.16,2.31
방림,2170,0,0.00%,500,2561,918,19,30.56,1.2
우신시스템,5010,60,-1.18%,500,5732,918,-11,-23.09,-1.38
우성사료,2960,40,-1.33%,500,208406,915,-41,-22.09,-1.58
HANARO 단기통안채,101610,0,0.00%,0,0,914,,,
사조씨푸드,5280,150,-2.76%,1000,179207,909,172,7.2,3.41
한국제지,18150,550,-2.94%,5000,3460,908,-145,-2.64,-4.31
미원홀딩스,38900,200,0.52%,500,761,907,36,9.36,5.05
TIGER 코스닥150 레버리지,6895,125,-1.78%,0,654361,903,,,
금호석유우,29650,50,0.17%,5000,6369,896,,2.02,
엔케이,1120,15,-1.32%,500,103576,896,-232,-3,-13.14
화천기공,40600,100,0.25%,5000,9444,893,86,7.06,3.39
TIGER 헬스케어,24255,270,-1.10%,0,4251,893,,,
동양물산,1365,40,-2.85%,500,277506,893,-54,-11.97,-4.07
조흥,148500,1000,-0.67%,5000,28,891,114,11.09,4.42
동성화학,16650,150,-0.89%,1000,6850,888,68,15.22,2.87
KBSTAR 중기우량회사채,105385,80,-0.08%,0,352,885,,,
STX중공업,3150,610,24.02%,2500,3759674,885,-145,-0.18,-15.97
광명전기,2040,35,-1.69%,500,114899,884,33,34,1.79
KC그린홀딩스,3940,85,-2.11%,500,65300,884,133,6.9,3.15
KOSEF 통안채1년,102555,25,0.02%,0,9954,882,,,
세화아이엠씨,2990,0,0.00%,500,0,879,-270,-1.99,-21.22
KCTC,2925,95,-3.15%,500,42634,878,150,12.19,1.95
KTcs,2055,15,-0.72%,500,44197,877,125,7.75,3.26
새론오토모티브,4565,85,-1.83%,500,1911,876,95,11.86,2.77
대유플러스,832,0,0.00%,500,196972,876,364,30.81,1.96
미원화학,39800,50,0.13%,1000,58,872,86,11.8,7.62
동방아그로,6400,50,-0.78%,500,7010,872,68,14.22,3.37
동남합성,24050,400,-1.64%,500,687,871,80,14.81,6.43
한진중공업홀딩스,2940,60,-2.00%,5000,9105,868,277,9.61,-0.01
ARIRANG 코스피50,17410,10,0.06%,0,60046,862,,,
금호에이치티,3715,5,-0.13%,500,26509,855,105,4.85,4.01
진원생명과학,3890,100,-2.51%,1000,74272,853,-113,-6.92,-25.07
이건산업,7740,160,-2.03%,5000,36205,848,237,12.15,1.49
SG충방,1865,0,0.00%,500,137509,839,52,25.9,1.64
삼부토건,674,21,-3.02%,1000,301993,836,-94,-1.37,-12.82
KODEX MSCI Korea,12020,0,0.00%,0,0,829,,,
KODEX 200 중소형,8365,35,-0.42%,0,179,828,,,
삼정펄프,33050,400,-1.20%,5000,602,826,-43,-472.14,-0.09
대신증권2우B,8220,30,0.37%,5000,10111,822,,5.06,
KC코트렐,6290,80,-1.26%,500,65901,818,37,19.66,1.1
대교우B,4185,5,0.12%,500,1612,813,,23.12,
서연,3455,30,-0.86%,500,38207,811,70,-4.56,-1.58
세원정공,8090,0,0.00%,500,0,809,-220,-12.45,-2.22
넥스트사이언스,3410,90,-2.57%,500,225254,801,-40,-6.25,
고려산업,3205,20,-0.62%,1000,1096023,799,58,20.28,1.87
상신브레이크,3680,5,0.14%,500,20182,790,207,9.63,2.4
사조오양,8350,110,-1.30%,5000,556809,787,125,9.88,2.61
두올,2895,55,-1.86%,2500,191742,784,307,6.8,4.38
휴스틸,10250,100,-0.97%,5000,7139,781,179,4.34,2.72
경동인베스트,33000,200,0.61%,5000,3348,780,392,2.86,5.01
대원전선,1145,10,-0.87%,500,299966,780,43,63.61,0.6
대창단조,38200,100,-0.26%,5000,1830,764,139,6.36,5.6
KOSEF 국고채10년,129470,285,-0.22%,0,3289,764,,,
KTis,2180,0,0.00%,500,29258,759,90,9.6,3.49
유니온,4845,215,4.64%,500,1376148,756,-7,-1.99,-18.02
수출포장,18900,200,1.07%,5000,3269,756,231,4.37,5.78
동양고속,26050,150,-0.57%,5000,340,754,30,58.41,0.67
두산2우B,76400,0,0.00%,5000,16,753,,-15.99,
인지컨트롤스,4950,170,-3.32%,500,154255,750,111,25.13,0.22
SK우,132500,0,0.00%,200,261,750,,4.17,
시디즈,37350,50,0.13%,500,1767,747,43,18.59,8.43
수산중공업,1370,30,-2.14%,500,143037,740,4,11.14,4.22
국제약품,3975,90,-2.21%,1000,68065,731,33,33.4,1.69
한익스프레스,6060,50,-0.82%,500,58217,727,89,13.74,2.72
메타랩스,1390,20,1.46%,500,405062,727,-88,-4.22,-17.91
삼성 레버리지 WTI원유 선물 ETN,14520,20,0.14%,0,7158,726,,,
삼성공조,8910,30,-0.34%,500,2672,724,-11,11.56,2.42
TIGER 코스피중형주,10545,0,0.00%,0,0,722,,,
조광페인트,5630,50,-0.88%,500,10274,721,1,-18.46,-1.37
ARIRANG 코스피TR,9440,10,0.11%,0,405,717,,,
부국철강,3580,35,-0.97%,500,130300,716,9,34.42,1.64
TIGER 미국나스닥100,42060,375,0.90%,0,15196,715,,,
KBSTAR 국고채3년,113490,85,-0.07%,0,28,715,,,
동일고무벨트,5350,90,-1.65%,500,19446,714,121,6.94,3.7
가온전선,16900,450,-2.59%,5000,3092,703,52,734.78,0.02
티에이치엔,3900,10,-0.26%,500,135169,702,112,13.93,2.28
만호제강,16900,200,-1.17%,1000,652,701,20,26.24,1.07
엔케이물산,838,38,-4.34%,500,1339334,700,-12,-4.55,-26.02
화천기계,3175,345,12.19%,500,14970308,698,-31,-102.42,-0.42
유성기업,2690,0,0.00%,500,19967,698,18,18.94,1.34
